trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
55,False,"{'a': 0.2, 'e': 0.003697863716482929}",20,6,27.653871892514612,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
56,False,"{'a': 0.2, 'e': 0.003345965457471272}",25,14,18.20952091432167,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
57,False,"{'a': 0.2, 'e': 0.0030275547453758127}",20,16,7.540157893624581,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
58,False,"{'a': 0.2, 'e': 0.0027394448187683684}",30,21,17.752999349873164,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
59,False,"{'a': 0.2, 'e': 0.0024787521766663585}",20,14,10.138171390488413,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
60,False,"{'a': 0.2, 'e': 0.002242867719485801}",20,12,15.108003935285831,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
61,False,"{'a': 0.2, 'e': 0.002029430636295734}",25,0,35.74447136819615,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
62,False,"{'a': 0.2, 'e': 0.0018363047770289056}",20,2,27.89361320371826,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
63,False,"{'a': 0.2, 'e': 0.001661557273173934}",25,12,13.307152255488647,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
64,False,"{'a': 0.2, 'e': 0.0015034391929775724}",20,8,22.74866858656324,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
65,False,"{'a': 0.2, 'e': 0.0013603680375478928}",20,9,19.17351535800101,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
66,False,"{'a': 0.2, 'e': 0.001230911902673481}",20,12,12.132288478340342,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
67,False,"{'a': 0.2, 'e': 0.0011137751478448024}",20,16,8.128863590109402,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
